date,order_book_id,open,high,low,close,volume,total_turnover,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha009,alpha010,alpha011,alpha012,alpha013,alpha015,alpha016,alpha017,alpha018,alpha020,alpha021,alpha022,alpha023,alpha024,alpha026,alpha027,alpha028,alpha030,alpha031,alpha032,alpha033,alpha034,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha048,alpha049,alpha050,alpha051,alpha053,alpha054,alpha055,alpha057,alpha058,alpha059,alpha060,alpha061,alpha062,alpha063,alpha064,alpha065,alpha066,alpha067,alpha068,alpha069,alpha070,alpha073,alpha074,alpha075,alpha076,alpha077,alpha078,alpha079,alpha080,alpha081,alpha082,alpha083,alpha086,alpha087,alpha089,alpha090,alpha091,alpha092,alpha093,alpha095,alpha098,alpha099,alpha100,alpha101,y
2017/7/17,CI005001.INDX,2407.304,2410.262,2334.547,2366.1845,1053257200,8232682000,0.482243517,-0.023938109,-0.013366284,-1,-0.40002778,-0.16347057,32,43.715,43.715,0.967391886,43.715,-0.037204059,-1.299831081,-0.592446449,-0.009601423,-0.024520857,-0.166362999,-1,0.037154157,0.652,-75.3817,-0.275838642,1,1.52E-06,0.19931521,-0.059357982,0.002839621,0.960022523,0.923401859,1.76925165,-0.034282086,-0.091367673,2293.938403,1.036702428,160,-0.194938348,0.13172255,1,3.926252671,0.051376138,1,-0.646217712,1,1.142447584,-0.455440758,0.433358941,-3208.662963,-2,-1,7.82E-05,TRUE,0,0.605856749,0,-1,-1.09796725,-0.978712858,0,-0.18517909,-9.99E-12,-16,0,TRUE,-1,0.143596987,0.901987126,FALSE,-9.46E-06,-1,-0.816228442,-40396.38564,0,-5,0,-0.275084555,-3.44595227,7,11.5923149,TRUE,0.53891233,0,-0.000221481,-0.54307544,0.029685935
2017/7/18,CI005001.INDX,2352.659,2379.877,2349.308,2379.6192,767216600,5949206000,0.332581736,-0.154408168,0.179016354,-2,-0.388970257,0.009117192,24,-13.4347,-13.4347,0.824615861,13.4347,-0.031848929,-0.810810811,-0.076662909,-0.129906105,-0.505636979,-0.015817031,-1,0.128308443,0,-88.8164,-0.275838642,1,-4.41E-06,0.20794071,0.09566398,0.002941087,0.49268018,0.305547733,1.311056059,-0.04229163,-0.011823697,2287.000383,0.997783934,119,0.113155626,0.114520978,1,1.18525504,-0.017208668,1,-0.646217712,1,-0.063000286,-0.936654657,0.609900051,-3369.662259,-2,-1,-0.000838814,TRUE,0,0.691185939,0,0,-1.064370412,-0.992206174,0,-0.430324401,-3.18E-08,-17,0,FALSE,-1,0.167608286,0.90711463,FALSE,-0.021151062,-1,-0.195363302,-71080.20055,0,-2,0,-0.146714045,-1.726719701,7,16.14620217,TRUE,0.443506798,0,-0.000936033,0.881916912,0.021710827
2017/7/19,CI005001.INDX,2379.103,2411.359,2370.879,2409.8528,943886100,7665070000,0.126691094,0.123283036,0.276460625,-4,-0.418222361,0.138665271,1,-30.2336,-30.2336,0.94889336,-30.2336,-0.035512965,-1.056024775,-0.069052988,-0.277540339,-0.511837655,-0.318293452,-1,0.136348379,-1.097,-119.05,-0.118216561,1,-5.39E-06,0.10746513,-0.097462743,0.003034794,0.474943694,0.143058293,1.295471038,-0.113758842,-0.033066345,2309.825762,0.893173528,114,0.075253267,-0.246514376,1,1.502274856,-0.033241222,1,-0.646217712,1,-0.120577787,-0.902912974,0.33837506,-3555.283698,-4,-1,-0.000899413,FALSE,0,0.449348347,-1,-1,-1.060417843,-0.99098188,0,-0.034291295,-0.152740093,-13,0,FALSE,-2,0.13559322,0.850358149,FALSE,-0.021151062,-1,-0.684195646,-115236.233,0,-1,-1,-0.346909347,-0.738886289,7,16.74881517,TRUE,0.38326301,0,-0.001142216,0.759610682,0.019275036
2017/7/20,CI005001.INDX,2416.152,2435.066,2413.896,2427.8767,894414500,7995582000,0.852874859,0.531379101,0.069506515,-9,-0.436743369,-0.023325035,-40,-18.0239,-18.0239,0.106556102,18.0239,-0.069616685,-1.727477477,-0.608229989,-0.178207115,-0.411499436,-0.804452512,-1,0.110895411,-55.189,-137.0739,-0.118216561,1,-9.04E-07,0.023900703,-0.486541777,0.003119,0.601914414,0.254294565,1.427567783,-0.742523443,-0.110125241,2335.063301,0.836875927,18,-0.143046156,0.335018926,1,1.142142937,-0.016339824,1,-0.708487085,1,0.360952956,-0.644608731,0.383006997,-2774.207811,-6,-4,-0.000397653,FALSE,-1,0.195637065,-1,0,-1.159514399,-0.945583064,0,-0.405830314,-0.626473789,-1,0,FALSE,-5,0.071092279,0.630412189,TRUE,-0.417987471,-1,-0.819055697,-148142.496,0,-1,-1,-0.852874859,-0.323350491,7,13.06469501,TRUE,0.586732302,0,-0.000902462,0.553809456,0.010517091
2017/7/21,CI005001.INDX,2425.5,2443.829,2420.928,2435.1709,820599500,7265968000,0.852874859,0.523637253,-0.03883359,-9,-0.449716228,-0.075473295,-46,-7.2942,7.2942,0.766775088,7.2942,-0.08934611,-1.620213964,-0.601465614,-0.117503287,-0.384441939,-0.152474738,-1,0.088450409,-32.47,-144.3681,0.271163072,1,-5.08E-07,0.024763241,1.540509372,0.00315626,0.624155405,0.403548296,1.452077824,-0.721566189,-0.112181144,2343.806917,0.801644896,16,-0.205791713,0.29752724,1,0.923510935,-0.006781518,1,-0.708487085,1,-0.058536752,-0.609681681,0.28848373,-2492.361877,-6,-8,-0.000352963,FALSE,-1,0.065416264,-1,0,-1.744494636,-0.833686875,0,-0.405830314,-2.80E-10,-1,0,FALSE,-6,0.031544256,0.543972537,TRUE,-0.351071777,-1,-0.834888323,-162149.1472,0,-2,-4,-0.852874859,-0.076275152,7,11.20126783,TRUE,0.740506329,0,-0.000776863,0.422273164,0.006404561
2017/7/24,CI005001.INDX,2426.791,2444.636,2423.082,2436.4269,978530400,9035911000,0.852874859,0.533394309,-0.192953304,-9,-0.44645728,-0.224038787,-29,1.256,1.256,0.732322535,-1.256,-0.755073281,-1.321227477,-0.717587373,-0.279657458,-0.360202931,-0.071017975,-1,-0.079264481,-9.57,-145.6241,0.253184842,1,-4.62E-07,0.023835613,1.694944586,0.003258033,0.624436937,0.510842016,1.457414156,-0.721300908,-0.211027642,2341.493492,0.798090692,54,-0.556182698,-0.253344543,1,1.105285715,-0.001213627,1,-0.888837638,1,-12.47611507,-0.6069912,0.050764888,-2489.663052,-6,-8,-0.000368494,FALSE,-1,0.02683073,-1,0,-2.943817053,-0.710489591,0,-0.448602576,-0.125497548,-3,-1,FALSE,-6,0.014124294,0.519603519,TRUE,-0.351071777,-1,-0.819338422,-115867.7054,0,-4,-8,-0.852874859,-0.022461394,7,10.64858757,TRUE,0.806610408,0,-0.000923138,0.44703781,0.018390209
2017/7/25,CI005001.INDX,2431.417,2439.474,2418.182,2431.2827,782694500,6820797000,0.629086809,-0.204528169,-0.261006719,-7,-0.448278613,-0.261297788,-27,5.1442,5.1442,0.135792983,-5.1442,-0.123449831,-1.366835586,-0.060315671,-0.034146132,-0.259864713,-0.103464704,-1,0.061544581,4.355,-140.4799,-0.530330086,1,-4.89E-07,0.109942458,1.875802331,0.003306996,0.72606982,0.610532244,1.590329963,-0.258384363,-0.187385668,2341.659594,0.822255047,44,0.378375577,-0.268593446,1,0.709288394,0.004963709,1,-0.888837638,1,-0.335066759,-0.615457388,-0.600688918,-2652.589997,-6,-8,-0.000418195,FALSE,-1,0.063029667,-1,0,-3.969226426,-0.380485173,0,-0.495882798,-6.38E-18,-9,-1,FALSE,-6,0.13700565,0.476411697,TRUE,-0.497657567,-1,-0.819621148,-115562.7862,0,-6,-7,-0.261894717,-0.232569022,7,11.06103286,TRUE,0.774027192,-1,-0.000701973,-0.006307237,0.025916402
2017/7/26,CI005001.INDX,2438.466,2457.112,2429.466,2456.3028,1017584600,9131672000,0.852874859,0.107538397,-0.322957904,-9,-0.471245881,-0.346552587,-60,-25.0201,-25.0201,0.837450859,-25.0201,-0.719842165,-2.058277027,-0.638951522,-0.495398326,-0.400507328,-0.352811226,-1,-0.115303622,-12.476,-165.5,-0.6875,1,-3.40E-06,0.108270366,1.689068021,0.003173655,0.550394144,0.182483807,1.443852265,-0.791069991,-0.218167728,2353.511197,0.726523133,17,-0.577498152,-0.289205527,-1,0.434436969,-0.024535011,-25.0201,-0.967712177,-25.0201,0.002215576,-0.935992636,-0.545129218,-2593.148718,-6,-8,-0.000574195,FALSE,-1,0.005660485,-1,-1,-3.960474308,-0.903544546,0,-0.495882798,-0.037213631,-12,-1,FALSE,-6,0.307438795,0.53811597,TRUE,-0.497657567,-1,-0.831778343,-92986.73828,0,-12,-7,-0.620377356,-0.413196069,7,10.89479769,TRUE,0.650023441,0,-0.00113295,0.645162224,0.005356546
2017/7/27,CI005001.INDX,2460.036,2464.38,2441.408,2453.4109,1081686900,9802338000,0.629086809,0.363339134,-0.392630132,-9,-0.478894591,-0.436250782,-56,2.8919,2.8919,0.787932804,2.8919,-0.772829763,-2.407094595,-0.738444194,-0.156156495,-0.156989853,-0.698730928,-1,-0.12361548,-24.906,-162.6081,-0.745601135,1,1.10E-07,0.223976374,1.702241005,0.003089198,0.79222973,0.577020558,1.700504203,-0.196043167,-0.290287671,2362.246263,0.740211884,38,-0.842900035,0.303470312,1,1.445912995,0.00276095,1,-0.967712177,1,0.569009455,-0.529594226,-0.564088383,-2673.696799,-6,-8,-0.000331033,FALSE,-1,-0.035181279,-1,-1,-5.949745906,-0.860408697,0,-0.523495601,-0.005840146,-6,-1,FALSE,-6,0.606403013,0.448734808,TRUE,-0.417987471,-1,-0.887475262,-112282.8121,0,-14,-6,-0.302985115,-1.493682733,6,10.83218391,TRUE,0.547819972,-1,-0.000810101,-0.288386367,0.006263973
2017/7/28,CI005001.INDX,2445.768,2453.613,2436.121,2450.7671,784880800,6948496000,0.482243517,0.342502032,-0.287485251,-8,-0.468651388,-0.311597803,-43,2.6438,2.6438,0.638184531,-2.6438,-0.71307779,-2.38597973,-0.704340474,-0.040398551,-0.265501691,-0.064286888,-1,-0.08514664,3.499,-159.9643,-0.983415102,1,-1.39E-06,0.21885631,1.671743542,0.002991426,0.670326577,0.57448606,1.580831801,-0.612762318,-0.185381803,2356.322041,0.750349325,20,-0.600722203,-0.446110777,1,0.873055477,0.002477171,1,-0.967712177,1,-1.198893154,-0.828797841,-0.626124094,-2872.518109,-6,-8,-0.000634444,FALSE,0,0.053517285,-1,-1,-6.87012987,-0.582248081,0,-0.58312393,-2.18E-13,-6,-1,FALSE,-6,0.683145009,0.458461508,TRUE,-0.839909808,-1,-0.829799265,-161307.7383,0,-14,-7,-0.255373396,-0.310715957,3.5,10.59670165,TRUE,0.321143929,-1,-0.000773098,0.285777168,0.011577069
2017/7/31,CI005001.INDX,2452.167,2482.539,2450.709,2481.2333,1032600300,9333013000,0.852874859,0.303103675,-0.465971873,-9,-0.505450253,-0.468286985,-49,-30.4662,-30.4662,0.641537588,-30.4662,-0.83680947,-2.346283784,-0.81313416,-0.381258477,-0.50535513,-0.284166014,-1,-0.041284225,-18.159,-190.4305,-0.983415102,1,-3.81E-06,0.215319041,1.552228368,0.002989895,0.48704955,0.140805407,1.375352082,-0.768829716,-0.395430453,2376.189059,0.633947707,42,-0.74878903,-0.286165136,-1,0.998022926,-0.028483014,-30.4662,-0.986162362,-30.4662,0.034270649,-0.90411003,-0.688765542,-2667.182869,-6,-8,-0.000573561,FALSE,-1,0.048746851,-1,-1,-6.837380011,-0.961932758,0,-0.004055188,-0.015782356,-9,-1,FALSE,-6,0.819679849,0.447682849,TRUE,-0.839909808,-1,-0.837998304,-85163.22252,0,-14,-6,-0.620377356,-4.337856809,1,10.28446708,TRUE,0.274027192,-1,-0.001057567,0.913144419,0.000582291
2017/8/1,CI005001.INDX,2488.28,2495.516,2477.442,2494.2928,1059333700,9979240000,0.852874859,0.312860373,-0.403359349,-9,-0.53754008,-0.411248512,-52,-13.0595,-13.0595,0.229887729,-13.0595,-0.792559188,-2.337556306,-0.772547914,-0.155511559,-0.322153326,-0.789807353,-1,-0.26705475,-41.903,-203.49,-0.983415102,1,-1.93E-06,0.108057467,1.393321608,0.003029411,0.662725225,0.311743171,1.53478359,-0.685222598,-0.334694195,2392.259589,0.597839634,42,-0.575617727,-0.282506009,-1,0.254711679,-0.010966301,-13.0595,-0.986162362,-13.0595,0.03394355,-0.921139328,-0.768744555,-2549.145736,-6,-8,-0.000570074,FALSE,0,-0.004585128,-1,-1,-7.834839074,-0.85913656,0,-0.021338725,-0.099079456,-4,-1,TRUE,-6,0.836682706,0.429185669,TRUE,-0.839909808,-1,-0.922815946,-130522.4406,0,-14,-8,-0.620377356,-4.187178287,1,9.692149469,TRUE,0.270042194,-1,-0.001058989,0.332658368,-0.005105696
2017/8/2,CI005001.INDX,2482.509,2487.693,2462.573,2469.4601,961512300,8819339000,0.629086809,0.146975876,-0.524717131,-8,-0.508203748,-0.532178342,-37,24.8327,24.8327,0.751808682,-24.8327,-0.802423901,-2.211148649,-0.787204059,-0.036412999,-0.138105975,-0.078056413,-1,0.025001494,-5.154,-178.6573,-0.954785924,1,1.81E-06,0.104590337,1.535015943,0.003022056,0.842905405,0.827935793,1.729612145,-0.13401179,-0.37132728,2383.377511,0.679328622,54,-0.657284881,-0.355654361,-1,1.126233582,0.023028791,24.8327,-0.986162362,24.8327,2.133168428,-0.281488622,-0.431606842,-2690.609941,-6,-8,0.00035263,FALSE,0,0.115783054,-1,-1,-7.791925466,-0.414075394,0,-0.277367873,-4.03E-14,-5,-1,FALSE,-6,0.842343617,0.473379358,TRUE,-0.592513103,-1,-0.899915182,-134595.6189,0,-14,-6,-0.435456595,-4.104351895,7,9.609789259,TRUE,0.265353962,0,-6.49E-05,-0.519441901,0.006319478
2017/8/3,CI005001.INDX,2464.003,2472.333,2458.36,2468.779,778859100,6879035000,0.482243517,0.179555304,-0.382213272,-7,-0.499735553,-0.382814717,-1,0.6811,0.6811,0.05544589,-0.6811,-0.861894025,-2.500281532,-0.842446449,-0.050504249,-0.308060879,-0.050436342,1,0.010240016,23.183,-177.9762,-0.943242218,1,-7.73E-07,0.200899821,1.802452216,0.003056001,0.673704955,0.544072092,1.540935625,-0.568141596,-0.28232318,2377.014656,0.681451613,6,-0.866713618,-0.329059967,-1,0.835351513,0.000601121,0.6811,-0.986162362,0.6811,-0.266781251,-0.738467638,-0.650981849,-2894.673028,-6,-8,-0.000577076,TRUE,0,0.303642639,0,-1,-3.755787691,-0.53869097,0,-0.526657264,-7.25E-16,-12,-1,FALSE,-6,0.552730697,0.495043072,TRUE,-0.839909808,-1,-0.828385638,-156366.6819,0,-14,-5,-0.429537768,-4.2896584,7,10.08633607,TRUE,0.187060478,0,-0.000668384,0.341777587,0.00202509
2017/8/4,CI005001.INDX,2464.541,2489.621,2462.506,2479.1398,1039888600,8893904000,0.332581736,-0.177175546,-0.336987552,-7,-0.514497881,-0.321566339,-29,-10.3608,-10.3608,0.231871386,-10.3608,-0.763810598,-2.537162162,-0.731116122,-0.220192875,-0.403043968,-0.130736264,-1,-0.0763337,-1.928,-188.337,-0.943242218,1,-8.28E-07,0.206057663,1.835750785,0.003034137,0.578265766,0.352013517,1.426230676,-0.643849144,-0.275801456,2390.498914,0.639982502,96,-0.876944366,-0.2809111,-1,1.461885169,-0.009593495,-10.3608,-0.986162362,-10.3608,0.014965728,-0.595603191,-0.44565932,-3066.434997,-2,-7,-0.000543931,TRUE,-1,0.32155106,0,-1,-2.278938453,-0.956973598,0,-0.526657264,-1.05E-14,-13,-1,TRUE,-6,0.54519774,0.581473951,TRUE,-0.839909808,-1,-0.809443031,-107643.6795,0,-14,-4,-0.526775648,-4.720636406,5,11.01792673,TRUE,-0.051336146,-1,-0.0007989,0.538383242,-0.024866004
2017/8/7,CI005001.INDX,2476.333,2483.662,2462.912,2482.6781,939503500,7788094000,0.126691094,-0.137628121,-0.43537017,-8,-0.529479522,-0.387215117,-35,-3.5383,-3.5383,0.223806111,3.5383,-0.756482525,-2.898648649,-0.735625705,-0.109329275,-0.259301015,-0.131178052,-1,-0.093798391,-11.329,-191.8753,-0.943242218,1,-2.79E-06,0.096549845,1.604463953,0.003001391,0.657094595,0.472824556,1.526963867,-0.581317836,-0.301704492,2390.369391,0.62761324,42,-0.971519128,0.508545052,-1,0.872806814,-0.002291575,-3.5383,-0.97601476,-3.5383,-0.575479522,-0.940472382,-0.571022579,-3220.327401,-1,-6,-0.000774949,TRUE,-1,0.325629394,0,-1,-3.132128741,-0.929272418,0,-0.277367873,-6.06E-13,-13,-1,TRUE,-6,0.637947269,0.618014148,TRUE,-0.021151062,-1,-0.836867402,-102684.2089,0,-14,-2,-0.572717024,-4.955545157,2,11.25925926,TRUE,-0.345053915,0,-0.000867608,0.305773216,-0.018133765
